season,event_main_group,event_code,event_label,category,gender,rank,athlete,nationality,age_group,total_time
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,1,XX/60,,16-29,01:02:36
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,2,VAIHINGER FITNESSTREFF,,16-29,01:04:25
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,3,Secksgeckos,,16-29,01:04:42
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,4,The cheese is eaten!,,16-29,01:04:56
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,5,Team grandIOS,,30-39,01:05:00
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,6,iFunc - The Real Life Strength,,16-29,01:05:12
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,7,Kannixchen,,16-29,01:05:32
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,8,Jérémy Righi,,30-39,01:05:48
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,9,Johannes Hillebrandt,,16-29,01:06:33
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,10,Gebrüder Grimm,,16-29,01:08:18
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,11,König,,16-29,01:09:48
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,12,Funktionelles Training Coburg,,30-39,01:09:50
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,13,Chewie und Yoda,,16-29,01:10:12
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,14,Dirk Sander,,40-49,01:13:01
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,15,Sugardaddies,,50-59,01:13:12
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,16,531,,30-39,01:13:50
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,17,Crossfit Hiesfeld,,30-39,01:14:08
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,18,Team 1 Factory Crefeld,,30-39,01:14:54
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,19,CFH Athletes,,16-29,01:15:04
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,20,Team 5 Factory Crefeld,,30-39,01:15:28
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,21,Der Bulle und der Bär,,16-29,01:15:31
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,22,Pretty Legs,,40-49,01:17:06
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,23,Saints of Lunges,,50-59,01:18:53
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,24,Umzugsunternehmen KnelliPilli,,30-39,01:19:05
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,25,DREAM TEAM aus ME Süd,,16-29,01:19:38
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,26,hyroxa77,,40-49,01:20:08
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,27,Amigos,,40-49,01:22:11
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,28,FNXNL Rowdies,,30-39,01:22:34
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,29,New Jerk Order,,30-39,01:22:51
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,30,Team 8 Factory Crefeld,,16-29,01:24:21
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,31,CrissCrossBox,,30-39,01:25:43
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,32,#krassschnell,,40-49,01:27:23
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,33,Sascha Hoffmann,,30-39,01:27:58
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,34,Westphalian Stallion,,40-49,01:30:36
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,35,Dennis Frühling,,30-39,01:31:45
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,36,JBG,,16-29,01:31:49
Season 1,2019 Oberhausen,HD_999999212F07B50000000068,HYROX DOUBLES,HYROX DOUBLES,M,37,CrossFit37,,30-39,01:53:30
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,1,SPORTFREUND TEAM,,16-29,00:56:09
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,2,Running Machines,,30-39,01:02:20
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,3,Box 9 Eschwege,,16-29,01:04:30
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,4,Team Hungary,,30-39,01:05:40
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,5,NoGainer,,16-29,01:05:52
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,6,Team Ice Cold,,16-29,01:06:17
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,7,CrossFit // Fine Fitness,,30-39,01:07:32
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,8,Running Gag,,16-29,01:07:57
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,9,CrossFit Saarbrücken,,30-39,01:08:22
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,10,"""Alb""-Traum",,30-39,01:08:31
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,11,#superheroproject,,30-39,01:09:16
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,12,TechSupport²,,30-39,01:09:49
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,13,Chris hoch zwei,,30-39,01:10:18
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,14,Orleanspalais,,16-29,01:10:52
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,15,CrossFit Saar - 2Big2Run,,30-39,01:10:53
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,16,Decatteam,,16-29,01:11:02
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,17,Holzherz,,16-29,01:11:12
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,18,Doppelverzweifler,,16-29,01:11:18
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,19,Filderknaben,,16-29,01:11:37
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,20,Burpee Bulls,,30-39,01:11:44
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,21,Crossfit 50 Grad Nord,,30-39,01:11:59
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,22,Die Unzerbrechlichen,,30-39,01:12:34
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,23,Heavy Bangers,,16-29,01:12:51
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,24,Bumper & Plate,,16-29,01:12:53
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,25,Area57 Fitness 1,,30-39,01:13:58
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,26,CrossFit Calw // Fine Fitness,,30-39,01:14:00
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,27,Benjamin & Svenjamin,,16-29,01:14:08
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,28,Hey Andi wie nennen wir uns jetzt?,,16-29,01:15:42
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,29,DB Factory,,16-29,01:16:46
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,30,Area57 Fitness 2,,30-39,01:17:08
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,31,Miami Nice,,30-39,01:17:08
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,32,Rowing Pains,,30-39,01:17:22
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,33,Hells-Bells,,40-49,01:17:33
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,34,Lauf Forrest,,40-49,01:17:55
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,35,Run T'n'C,,30-39,01:18:30
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,36,Mudder Fuckers,,30-39,01:18:44
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,37,Pure Performance CrossFit Team 1,,40-49,01:18:58
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,38,0711,,30-39,01:19:02
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,40,CrossFit Saar - Quick & Dirty,,30-39,01:19:41
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,41,Super Mario & Luigi,,30-39,01:19:52
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,42,BLACK FOREST GANG,,30-39,01:20:18
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,43,#GESUNDNAH,,30-39,01:20:25
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,44,Dessau 09,,40-49,01:20:35
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,45,CrossFit Two 2 Seven,,40-49,01:20:50
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,46,Unknown Heroes,,40-49,01:20:54
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,47,Team Müllersche Dominanz,,16-29,01:21:45
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,48,CrossFit Calw // Fine Fitness,,16-29,01:21:59
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,49,Area 57 Fitness 3,,30-39,01:22:03
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,50,Basis Open 19.6,,16-29,01:22:04
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,51,FEBAROX,,16-29,01:22:21
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,52,Bis einer weint,,30-39,01:22:53
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,53,CFBF-Crew,,30-39,01:23:03
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,54,Martin Mansel,,16-29,01:23:25
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,55,Team Bring It,,16-29,01:23:25
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,56,Wolfgang & Karl,,30-39,01:23:43
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,57,DoubleBacon,,30-39,01:23:54
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,58,Tip Top,,30-39,01:24:02
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,59,Racer,,40-49,01:24:04
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,60,Team T N T,,30-39,01:24:15
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,61,Joshua Greiner,,16-29,01:24:37
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,62,AOK-Team Double Trouble,,30-39,01:24:44
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,63,Pure Performance CrossFit Team 2,,30-39,01:25:23
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,64,CrossFit Calw // Fine Fitness,,40-49,01:25:51
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,65,Curls4theGirls,,30-39,01:26:14
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,66,Chalk dirty to me,,30-39,01:26:31
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,67,Michael Wagner,,16-29,01:27:25
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,68,Buffalo Box Stefan&Anssi,,40-49,01:27:59
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,69,Yaroslav Lindyuk,,30-39,01:28:02
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,70,Die Überlebenden,,16-29,01:28:15
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,71,CrossFit Saar - Affenbande,,30-39,01:28:51
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,72,Christoph Scholz,,30-39,01:29:17
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,73,SPORTFREUND TEAM,,30-39,01:29:47
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,74,OberDIRTYngen,,16-29,01:30:15
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,75,Simon Fischer,,16-29,01:32:08
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,76,Dr. Jekyll and Mr. Hyde,,40-49,01:33:26
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,77,Bulls & Bears,,50-59,01:33:47
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,78,Rüdiger&Marino,,40-49,01:33:54
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,79,Mudders,,30-39,01:34:21
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,80,GZHyrox-Team Double 1,,40-49,01:36:19
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,81,Burpee Squad,,30-39,01:36:41
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,82,SPORTFREUND TEAM,,40-49,01:36:53
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,84,Kickschno?,,16-29,01:48:43
Season 1,2019 Karlsruhe,HD_999999212F07B50000000067,HYROX DOUBLES,HYROX DOUBLES,M,85,Konstantin Fischer,,30-39,01:52:36
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,1,No brain but gain,,16-29,01:01:04
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,2,The Merciless,,30-39,01:01:51
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,3,Frank the Tank & crazy Kelle,,30-39,01:03:08
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,4,San Diego Un1ted,,16-29,01:04:33
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,5,GymTonic,,16-29,01:06:01
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,6,KraftMühle-ZimZec,,16-29,01:06:19
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,7,Gegen uns hätten wir auch gewonnen!,,16-29,01:06:24
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,8,Sweaty Ballz Goats,,30-39,01:06:37
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,9,BavarianBeasts,,16-29,01:07:21
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,10,CF Würzburg MEN,,30-39,01:07:57
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,11,Die Wadenkrämpfe,,16-29,01:08:18
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,12,Schwobenpower,,16-29,01:10:05
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,13,Perseverance,,30-39,01:10:43
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,14,"Zwei Bekloppte, ein Ziel",,30-39,01:11:31
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,15,Officer1,,16-29,01:11:52
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,16,Team-Gönnjamin,,16-29,01:12:26
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,17,FreDo,,16-29,01:12:31
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,18,JaMi,,16-29,01:13:14
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,19,CrossFit CFD,,16-29,01:13:30
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,20,F&F,,16-29,01:13:40
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,21,Team #ohne Namen,,16-29,01:14:17
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,22,CrossFit GenGym,,40-49,01:14:29
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,23,D(T)ouble,,30-39,01:15:28
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,24,Ich kann Ihnen nicht folgen,,30-39,01:15:34
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,25,Go hard or go home,,16-29,01:15:41
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,26,KraftMühle M&M´s,,30-39,01:15:53
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,27,LuTi,,16-29,01:16:14
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,28,König,,16-29,01:16:34
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,29,DB Factory,,16-29,01:17:12
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,30,Sympathy for the Burpee,,16-29,01:17:20
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,31,VolleX,,40-49,01:17:45
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,32,JoDo,,16-29,01:18:17
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,33,MaxHan,,16-29,01:18:36
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,34,DILFS,,30-39,01:19:33
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,35,Urgesteine,,16-29,01:19:41
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,36,Corona Australis,,30-39,01:22:15
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,37,Showtime!,,16-29,01:23:13
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,38,Äppler,,30-39,01:23:47
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,39,Rodis Camp,,16-29,01:26:02
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,40,Ultschen's,,16-29,01:26:13
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,41,Brothers,,50-59,01:27:02
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,42,Großkorbetha Warriors,,30-39,01:27:47
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,43,JaPhi,,16-29,01:27:59
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,44,Bro Master's,,30-39,01:28:48
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,45,Koki Runners,,30-39,01:30:05
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,46,Marvin Herold,,40-49,01:31:51
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,47,Team Dönerkebab,,16-29,01:32:12
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,48,CFD - Flo + Michael,,40-49,01:33:18
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,49,Wolff Sports,,40-49,01:38:54
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,50,#Angelwings,,16-29,01:47:19
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,51,Die Vollblutschweine,,30-39,01:53:14
Season 1,2019 Nürnberg,HD_999999212F07B50000000066,HYROX DOUBLES,HYROX DOUBLES,M,52,Klaus Amend,,40-49,01:57:14
Season 1,2019 Hannover,HD_999999212F07B50000000065,HYROX DOUBLES,HYROX DOUBLES,M,1,Athlevo CrossFit,,16-29,01:00:06
Season 1,2019 Hannover,HD_999999212F07B50000000065,HYROX DOUBLES,HYROX DOUBLES,M,2,CrossFit Flensburg,,16-29,01:00:33
Season 1,2019 Hannover,HD_999999212F07B50000000065,HYROX DOUBLES,HYROX DOUBLES,M,3,OPG 2,,30-39,01:01:28
Season 1,2019 Hannover,HD_999999212F07B50000000065,HYROX DOUBLES,HYROX DOUBLES,M,4,H1996,,40-49,01:03:58
Season 1,2019 Hannover,HD_999999212F07B50000000065,HYROX DOUBLES,HYROX DOUBLES,M,5,Mahatma Gönndir,,16-29,01:05:04
Season 1,2019 Hannover,HD_999999212F07B50000000065,HYROX DOUBLES,HYROX DOUBLES,M,6,foodspring,,16-29,01:05:48
Season 1,2019 Hannover,HD_999999212F07B50000000065,HYROX DOUBLES,HYROX DOUBLES,M,7,Slitherclawravenpuffs,,16-29,01:06:25
Season 1,2019 Hannover,HD_999999212F07B50000000065,HYROX DOUBLES,HYROX DOUBLES,M,8,Die Zuckerpuppen,,30-39,01:06:28
Season 1,2019 Hannover,HD_999999212F07B50000000065,HYROX DOUBLES,HYROX DOUBLES,M,9,OPG 1,,30-39,01:07:30
Season 1,2019 Hannover,HD_999999212F07B50000000065,HYROX DOUBLES,HYROX DOUBLES,M,10,CrossFit Hammerbrook,,30-39,01:07:30
Season 1,2019 Hannover,HD_999999212F07B50000000065,HYROX DOUBLES,HYROX DOUBLES,M,11,Flying Dorsche,,16-29,01:07:41
